title,text,site,date,category,class,url
Christmas Miracle? Fine Gael & Fianna Fáil Put Aside Differences To Play Football In Leinster House Trenches,"JUST AS PEOPLE feared the venomous quarreling between two diametrically opposed forces would spill over into violence once again, Fine Gael and Fianna Fáil have laid down their finger-pointing arms and played a festive game of football. “Wow, ’tis the season of peace on earth and good will to all men, so it is,” said one shoe polisher outside Leinster House, who threw his flat cap skyward in exultation before jumping and clicking his heels. The tear-jerking intrusion of man’s basic humanity, the likes of which has not seen since the first World War, into the maddening mire of murderous political negotiation had seemed virtually impossible in recent weeks such was the near constant agreement the two sides have been locked in. “I’ve seen it all now, it wasn’t two days ago I heard some of them agreeing on absolutely everything, declining to even speak out loud due to their telepathic understanding of each other and now look at them, putting aside their zero differences to play a bit of ball, warms the heart. There’s a lesson in their for all of us” added another onlooker, filled with the Christmas spirit. Elsewhere Sinn Féin declined to partake in the kickabout, preferring instead to establish their own football match in which Mary Lou McDonald was the only one allowed to score a goal.",Waterford Whispers News,"December 24, 2024",POLITICS,Satire,https://waterfordwhispersnews.com/2024/12/24/christmas-miracle-fine-gael-fianna-fail-put-aside-differences-to-play-football-in-leinster-house-trenches/
Local Woman Can’t Believe How Many Bullshit Made Up Christmas Traditions In-Laws Have,"THE PERSONABLE and polite exterior belonging to local woman Ciara Kinnane is at risk of shattering if she has to endure one more bullshit Christmas tradition observed by the her other half’s family, the Mortons. “Silly Sockless time, Silly Sockless time, who’s going to win the last Roses chocolate,” screeched Morton matriarch and mother-in-law to Kinanne, Carmel as the family inexplicably whipped off their socks and ran out the front door. “D’you not play this before? I definitely told you about this one Ciara,” Kinnane’s partner Jack said, outlining how one member of the family who can survive out on the concrete drive way in front of the house in their bare feet the longest wins a solitary chocolate. “But it’s mild enough like and you’re all adults. You can buy an infinite amount of chocolate for yourselves. In fact you just told me you vomited a little in your mouth there ‘cos you’re too full of chocolate,” a so-fucking-done-with-this Kinnane said. At first glance, Kinnane could be labeled a Grinch of the highest order, but experts in spending festive period with the in-laws have pleaded for understanding. “She’s had to sit through something called ‘Oopsy Daisy Gift’ where you buy someone a gift you know they’ll hate, and there’s still the Christmas Eve watching of the Michael Keaton Batman movies ‘as is tradition’ to come, and the mulled wine and pineapple soup. These family-specific traditions are a penance,” explained one Christmasologist, who wouldn’t blame Kinnane if she started walking back home to Cork from Dublin now. Expertly spotting that Kinnane was receding into herself slightly, her other half tried to cheer her up. “You a bit tired or something? Don’t worry, you’ll be having great craic once we start playing mistletoe toe, remember? Where we pass the parcel with mistletoe and if it’s in your hand when the music stops, you have kiss someone’s toe” Jack told Kinnane, who can’t believe she’s three more days of this foot obsessed family.",Waterford Whispers News,"December 22, 2024",LOCAL NEWS,Satire,https://waterfordwhispersnews.com/2024/12/22/local-woman-cant-believe-how-many-bullshit-made-up-christmas-traditions-in-laws-have/
“How Come You & Your Dad Support Different Teams?” Innocently Asks Girlfriend About To Receive Crash Course In Chelsea’s Early 2000s Transformation,"UNAWARE she has set herself on a path towards receiving a dense-packed hours long lecture about early 2000s Premier League football, Emily O’Sullivan has queried why her boyfriend Sean Hughton supports a different team to his father. “And you see Damien Duff is Irish and he played the same position as me, and they were drowning in money. And Jose was cool back then, not the cringe magnet he is now, but even before him Ranieri was like sound and Ferguson and his little parade of pricks were arrogant as anything,” launched Hughton, not drawing breath as O’Sullivan identified her nearest emergency exits. Putting himself back on the defensive slightly 32-year-old Hughton made sure to mention how before his time mid-90s Chelsea were a joyously sophisticated blend of brawn and skill, counting Zola and Wise among their ranks, thus proving the ‘we’ve got no history’ chant is deeply ironic before having to explain the chant’s origins what O’Sullivan said “what’s a chant?”. “And sure dad would try and wedge me into a United shirt but I didn’t want to be like the other lad in school who were all United fans. You following this?” continued Hughton, the words spilling out of him excitedly as his girlfriend finally asked him about something he cared about instead of boring topics such as his career or his terminally ill grandfather. A spirited and energised love poem about Claude Makelele and how he walked so Ngolo Kante could run didn’t seem to have desired effect on O’Sullivan, who Hughton now presumed would accompany him on several trips to Stamford Bridge on an annual basis and making the possibility that their first child could be called Terry very likely. “Do you want to see my Premier League sticker book?” beamed Hughton, rummaging through a shoe box in his wardrobe.",Waterford Whispers News,"December 20, 2024",Football,Satire,https://waterfordwhispersnews.com/2024/12/20/how-come-you-your-dad-support-different-teams-innocently-asks-girlfriend-about-to-receive-crash-course-in-chelseas-early-2000s-transformation/
Investigation Launched To Discover Why Sofas No Longer Come With Arm Rest Covers,"IRISH homeowners are subject of a wide-ranging furniture study, believed to be the biggest of its kind, which is seeking to understand when the practice of having arm rest covers on sofas came to an end. “You couldn’t move from arm rest covers, couches had them, the ‘dad chair’ had them, the good room was just one big arm rest. Christ we used to dress our children in old arm rest covers but when did we decide to stop using them?” professor of furniture studies at TUD Harry O’Neill queried. Reasons posited for the almost complete extinction arm covers is traced to a dwindling supply of Irish women who are so aggressively house proud their wrath is more feared by Irish society than a roaming band of machine-gun totting vigilantes. “Some suggest it’s a ‘notions’ thing but isn’t removing the covers the OPPOSITE of notions? Having arm rest covers says ‘my sofa is precious’, it tells visitors ‘I don’t want your gummy, grubby bastard forearms destroying my expensive furniture,” added O’Neill, who believes there’s a link between the disappearance of arm rests and the fall of Irish civil society. Participants in the study have been warned that the recent adoption of a non-matching little cover draped over one arm of a sofa that has slots for a TV remote, magazines and other items doesn’t count and looks ridiculous, retaining none of the understated quintessentially Irish tackiness of arm rest covers. “Some studies are utterly pointless but am glad someone is finally doing something of value,” said one study participant Patricia Clarke, who is just thankful matching patterned curtains and carpets never went out of fashion.",Waterford Whispers News,"December 19, 2024",LOCAL NEWS,Satire,https://waterfordwhispersnews.com/2024/12/19/investigation-launched-to-discover-why-sofas-no-longer-come-with-arm-rest-covers/
Tesco Expand Self-Service Checkout To Include Customers Stacking Shelves & Processing Deliveries,"EYING a new streamlined and improved customer service experience, Tesco has announced it is expanding its self-service offerings beyond self-scan and checkout services from next week. “Customer surveys indicate they want more freedom to go about their shopping unencumbered by inconveniences in the traditional retail processes such as staff,” explained Tesco’s head of increasing dividends Tony Smith. The new changes will see customers allowed access to loading bays where they can free produce they want to buy from crates and pallets, moving them to their shop floor location at dedicated signposted spaces on shelves in various aisles. “From here, customers can then take a number of those items, scan them, pay for the items, pack them in bags and leave,” added Smith. The initiatives are set to increase customer interaction with faceless interfaces by 350%, reducing the need for surplus staff. “And we understand not all customers live in the most conveniently located areas in relation to their local branch. In fact, some might live closer to distribution centres and in those cases we’ve heard what customers have said and we give in; you can pick up large shipments of stock from there and drive them directly to our stores,” chimed head of staff headcount recalibration Craig Stafford. “Our only thought here is the customer, it’s all customer led initiatives and ideas,” he added, handing some pricing guns to a stressed out mother-of-three who just wanted to know where the milk aisle was.",Waterford Whispers News,"December 19, 2024",BUSINESS,Satire,https://waterfordwhispersnews.com/2024/12/19/tesco-expand-self-service-checkout-to-include-customer-stacking-shelves-processing-deliveries/
Fears RIP.ie Death Notice Charge May Turn Irish Funerals Into A Money Racket,"IN A FIRST for the funeral industry in Ireland, many stakeholders are now suggesting vulnerable families processing the loss of a loved one could be preyed upon and have their grief exploited in the name of profit by bad faith actors. This fear comes with the news that the RIP.ie website, purchased this year by The Irish Times, will begin charging a €100 fee for death notices. “RIP.ie would want to cop on, that’s fierce bad,” said one funeral director who knows just the phrase to use to steer grieving families away from all the cheapest available elements of a funeral package. “And that phrase is ‘if you really loved them you’d go for our deluxe premium gold mourning package'” they added. In retaliation to the new charge, Irish people around the country are gathering in protest and have confirmed they will boycott dying until RIP.ie reverse their decision. “That’s awful so it is,” offered a priest who can paid upwards of €150 for doing the thing he’s supposedly driven to do as a calling as he is not motivated by money.  Florists, printers, musicians, car leasers, hotels, restaurants and bars among others have all condemned RIP.ie’s decision to take a look grieving families and think ‘they could be paying more’. “As a firm that charges by the individual tissue handed out to grieving widows, we know an insensitive price gouge when we see one,” offered one dissenting funeral director who would now have to regretfully up the fee they already charged for placing an RIP notice.",Waterford Whispers News,"December 18, 2024",LOCAL NEWS,Satire,https://waterfordwhispersnews.com/2024/12/18/fears-rip-ie-death-notice-charge-may-turn-irish-funerals-into-a-money-racket/
Martina Burke Starting To Suspect Family Would Do Anything To Get Away From Her,"WITH HER husband Sean Burke answering ‘no thanks, prison please’ when a judge asked if he could consider signing a bond of good behaviour for a 12 month period to avoid a prison sentence after been found guilty of assaulting a female garda, sources close to Burke matriarch Martina say she is beginning to become a bit suspicious. “Prison is like a relaxing 5-star spa at the foothills of the Himalayas by comparison, now you didn’t hear that from me,” confirmed a reluctant neighbour of the family, of Enoch and now Sean’s incarceration. Witnesses said another Burke cleared in court yesterday of obstructing a garda from carrying out their duties broke down in tears and begged the judge for a jail sentence. “They haven’t just chosen prison for a bit of a break from her, it’s also their knees, legs, ankles that need the break. They were up to 80,000 steps on the FitBit some days, traipsing around the streets filming themselves chasing and shouting at people,” offered a source.  Martina Burke’s suspicions have all but been confirmed after Enoch bricked up an escape tunnel his mother built into prison which was concealed behind a poster of Rita Hayworth.  “Ah look, Christmas can be a stressful time if you have batty relatives, I’ve often considered doing a short stretch too just to get a break from my lot. She looks like she’d lose the plot after dinner over a game of Monopoly in fairness,” offered one observer. After the jailing of Sean Burke, garda commissioner Drew Harris took to the steps outside the courts to boast about putting another ‘key figure’ in the Burke Crime Group behind bars.",Waterford Whispers News,"December 18, 2024",LOCAL NEWS,Satire,https://waterfordwhispersnews.com/2024/12/18/martina-burke-starting-to-suspect-family-would-do-anything-to-get-away-from-her/
People Insisting On Posting About Death & Destruction In The Birthplace Of Jesus Asked To Shut Up So We Can All Enjoy A Guilt Free Christmas,"THERE HAVE BEEN calls for an immediate end to the senseless posting about the eradication of people in the surroundings of the birthplace of Jesus, so those who just want to enjoy the true meaning of Christmas can do so without any nagging sense of guilt. “I’m trying to enjoy the feckin’ Christmas season here, you’re bringing me down by talking about Jesus and religion and all that,” said one social media user in a comment beneath a friend’s post about some conflict or other happening miles and miles away. Others backing calls to ‘give it a rest Christ almighty, we get it’ were almost certain one of the core tenets of Jesus’ teachings included ‘look the other way for a bit if you’ve plans and don’t want them interrupted by killjoy stuff like actual killings’. “Sure what can I do about it? Only thing I can do is knuckle down and enjoy the drinking, gifting and eating without a second thought for anything else. Anyone insisting on making me aware of other things are the ones committing atrocities if you ask me,” shared another person who thinks its awful what’s happening; the empathy for people. Some more zealous internet users have called on an outright ban of news specifically on the key important Christmas times such a Christmas Eve pints, Stephen’s Day pints and New Year’s Eve pints. “By all means, get back to your virtue signalling and that around… 7th of January-ish, that seems like a reasonable request, but have a bit of cop on Chirstmas isn’t the time for virtues or an appeal to all men,” correctly stated another Christmas enjoyer.",Waterford Whispers News,"December 18, 2024",WORLD NEWS,Satire,https://waterfordwhispersnews.com/2024/12/18/people-insisting-on-posting-about-death-destruction-in-the-birthplace-of-jesus-asked-to-shut-up-so-we-can-all-enjoy-a-guilt-free-christmas/
Fresh Hope Irish Politics Changing For Better With FF/FG Supporting TD Who Thinks 3-Year-Old Immigrants Are In ISIS For Ceann Comhairle,"THOSE HOPING the recent election results has paved a path towards a higher standard of politics and public service in Ireland are said to be overjoyed at the news Fianna Fáil and Fine Gael have given into independent TDs’ demands and will rubber stamp Verona Murphy for Ceann Comhairle. “Only a fool would say this isn’t a step up from the last person, we’ve gone from someone who wrote a character reference for a rapist to the ‘are babies ISIS fighters?’ lady. The progress is clear,” confirmed one optimistic member of the public. Murphy, known to some for believing 3-year-old refugees would need de-programming because they’re probably in ISIS, and having the Workplace Relations Committee finding she had penalised an office worker in her 60s who had raised allegations of bullying against her during her time as head of the Irish Road Haulage Association, is set to net the €255k position due to her sterling CV which now reads ‘make me Ceann Comhairle if you want independents’ support’. “All that may be true but let’s focus instead on the fact she will be the first ever female Ceann Comhairle,” countered Verona Murphy. For their part Fianna Fáil and Fine Gael defended their actions. “If this sort of move is anything to go by, I have a feeling the next five years could be Irish politics finest every period,” confirmed Micheál Martin, drooling as he stared at the Taoiseach’s office. “She wasn’t good enough for Fine Gael when she left and we found her conduct unbecoming but I’d rather nail my sack to a high speed Japanese train than develop some principles and a moral compass, power at any cost baby,” confirmed Taoiseach-for-now Simon Harris.",Waterford Whispers News,"December 18, 2024",POLITICS,Satire,https://waterfordwhispersnews.com/2024/12/18/fresh-hope-irish-politics-changing-for-better-with-ff-fg-supporting-td-who-thinks-3-year-old-immigrants-are-in-isis-for-ceann-comhairle/
On This Day 1981: Ireland’s First Swingers Discuss Having No One To Ride,"IRELAND’S first ever controversial ‘swingers’ have asked for at least one other couple to develop a perverse and sickening interest in extra-marital mickey swapping, Waterford Whispers News reports with much regret. “I’m not sure we technically qualify as swingers as we haven’t found anyone to swing with,” a rueful Cathy Dolan told this publication, discussing the desire she and her husband Brian have to broaden their hobbies to foreign-to-their-wedding-vows fornication. “I think if someone was brave enough to consider becoming Ireland’s second swinging couple, we’d have a jolly time, it’s quite lonely at the minute, one set of keys in the bowl,” explained Brian Dolan, a sullen figure striped down to his birthday suit with no one other than his wife to blow out his candle. “Brian tries to hide his disappointment when he pulls his own keys out of the bowl at our parties, but I see it in his eyes,” a sad Cathy added. Aside from putting an advert down an alley way in the form of a ‘for a good time call’ scrawl on a wall in graffiti, the couple are at a loss as how to find a like-minded couple. “We got close once with a couple from Limerick but I think they misunderstood the keys in a bowl thing and drove off with Brian’s VW,” Cathy explained. “We’re penpals with a couple in Germany, they do more swinging than monkeys on a vine over there, you can’t fathom the embarrassment each new postcard we send brings; a swinger who hasn’t swung,” sobbed Brian.",Waterford Whispers News,"December 18, 2024",Uplifting Viral Content,Satire,https://waterfordwhispersnews.com/2024/12/18/on-this-day-1981-irelands-first-swingers-discuss-having-no-one-to-ride/
