title,text,subject,date
France's Macron trades barbs for diplomacy with Trump,"PARIS (Reuters) - France’s president has not given Donald Trump an easy ride: a crunching handshake at one meeting was followed by a body swerve at another and then a public rebuke over his attitude to climate change. But now there seems to be an olive branch from Paris. The U.S. leader said on Wednesday he had accepted an invitation from Emmanuel Macron to celebrate July 14 Bastille Day celebrations and 100 years since the U.S. troops entered into World War One. Trump will likely revel in a ceremony laden with pageantry and military pomp, with U.S. soldiers marching down the Champs Elysees boulevard beside French servicemen - a welcome respite from his domestic woes. For Macron, 39, it is an opportunity to use soft diplomacy to win Trump’s confidence as he tries to establish himself as a leading global statesman at a time when decision-making in the White House has become increasingly unpredictable. “We don’t want the United States to isolate themselves,” a Macron aide said recently. “That’s what diplomacy is for. It’s not to let people sulk in their corner.” In the space of six weeks, France’s youngest leader since Napoleon, will have hosted Russian President Vladimir Putin in Versailles and Trump on Paris’ most iconic avenue. Macron flattered Putin in May with a meeting at the sumptuous palace of France’s former monarchy, built outside Paris by Louis XIV - the ‘Sun King’ - to symbolize absolute power. Even so, Macron pulled no punches, accusing Russian state media of “lying propaganda” during his French election campaign. A French diplomat indicated there would be frank exchanges with Trump too after Macron took a dig in English at Trump’s withdrawal from the Paris climate accord when he urged U.S. citizens to help “make this planet great again”. “On climate change it’s complicated,” the diplomat said. “But the rest is sufficiently important for him to make this historic trip on July 14.” Macron appears to be broadly aligning his foreign policy with U.S. priorities of tackling terrorism while seeking better ties with Russia. The battle against Islamic State, Syria’s civil war and Iran’s nuclear accord are likely talking points. Privately, some French diplomats have lamented the lack of a clear U.S. policy on the long-term political process in Syria and say even setting up a meeting between the French and U.S. foreign ministers is tough.  A White House statement said the two leaders would “further build on the strong counter-terrorism cooperation and economic partnership between the two countries”. Past words may haunt Trump. It will be his first visit since he declared that a wave of militant attacks showed France was soft on immigration and fighting jihadists.  “France is no longer France. They won’t like me for saying that but... France is no longer France and this world better be very careful and they better get very tough and very smart,” the U.S. president said in a campaign speech.  In bringing Trump to Paris, Macron has stolen a march on Britain’s embattled Prime Minister Theresa May.      London’s offer in February of a state visit for Trump met fierce public resistance, Britons perceiving it as a desperate act by a government in need of a trade deal as it faced tough negotiations on its exit from the European Union. A date has still not been confirmed. In Paris, public opinion appeared divided. “You can see that the way Trump’s headed isn’t going to help things and I think diplomatic channels are the best way to calm things down,” said antique dealer Florence Toussaint. Psychologist Martine Aubourg was less impressed. “Trump isn’t an honorable president,” she said. “He changes his mind all the time.” ",politicsNews,"June 29, 2017 "
Expelled refugee student kills seven in Kenyan school,"ISIOLO, Kenya (Reuters) - An expelled student shot dead six of his former schoolmates and a security guard at his school in northern Kenya on Saturday, and was then himself lynched by a furious mob, officials said. The attack took place at a school in the remote town of Lokichogio in Kenya s Turkana region, close to the border with war-torn South Sudan. At least six other students were flown to hospital with bullet wounds. The assailant was a 17-year-old from South Sudan - one of thousands of refugee children who have been living in Kenya and going to school there since civil war broke out in their country in 2013. He was detained in possession of an AK-47, the basic assault rifle of choice in conflicts across Africa and the Middle East.   The school was not attacked by bandits but an errant student on expulsion for disciplinary cases,  regional government official Wanyama Musyambohe told reporters. Security officials said the assailant, whose name has not been disclosed, had been arrested, but then killed by a mob while in police custody.  The attack ... is a painful reminder of the state of insecurity along the border,  tweeted Turkana county governor Josphat Nanok. Close to 2 million people have fled South Sudan since fighting broke out in December 2013, sparking what has become Africa s largest cross-border exodus since the 1994 Rwandan genocide. Some 75,000 of them are now in Kenya. Perennial conflicts have left the region awash with arms, which are smuggled across borders with relative ease. ",worldnews,"October 14, 2017 "
Trump seeks $10 million from former adviser in campaign legal dispute,"(Reuters) - Republican White House hopeful Donald Trump is seeking $10 million in damages from a fired former employee, shedding light on a campaign that has at times seen high-profile exits and internal fights spill over into public view. Trump in May started arbitration proceedings against Sam Nunberg, a former adviser who was fired in 2015, accusing him of violating a confidentiality agreement, according to a court filing obtained by Reuters.     “He has a confidentiality agreement which he has repeatedly breached, and we’ve taken action to enforce it,” said Alan Garten, general counsel with the Trump Organization who is representing the campaign in the arbitration.  Nunberg did not respond to a request for comment. The flare-up comes after a period in which campaign in-fighting led Trump to fire some top aides, including national political director Rick Wiley and campaign manager Corey Lewandowski. Other staffers have separately resigned from Trump’s campaign. Trump’s legal conflicts, which also include a lawsuit over his Trump University real-estate seminars, have at times distracted public attention from his campaign. Nunberg in court documents dated Tuesday accused Trump of starting arbitration proceedings to retaliate against him for switching his support to rival presidential hopeful Ted Cruz during the Republican primaries. Cruz dropped out of the race in early May. Garten said the suit was unrelated. Nunberg also said Trump tried to use the arbitration to “cover up media coverage of an apparent affair” between two members of his presidential campaign staff. “The Trump campaign is attempting to bring a frivolous and retaliatory arbitration proceeding against me essentially to punish me and shut me up,” Nunberg said in an affidavit accompanying his petition to halt the arbitration proceedings.  The petition was filed on Tuesday in New York state court in Manhattan. The Trump campaign fired Nunberg in August 2015 after the discovery of Facebook posts that critics deemed racist. Nunberg at the time denied he wrote the posts. He said in the court filings that Trump accused him of being the source for a New York Post story in May that recounted a public argument between Lewandowski, who was then with the campaign, and Hope Hicks, Trump’s spokeswoman. In the affidavit, Nunberg said the argument was part of an “sordid and apparently illicit affair” between the two. He denied being the source for the New York Post story, saying the argument occurred in public and others saw it. Garten called the allegation “categorically untrue” and said Nunberg had recently asked for his job back. “This is an individual who time and time again has demonstrated that he will say anything that is outrageous, regardless of whether it’s factually accurate, to get his name out there and create trouble,” Garten said. Hicks and Lewandowski did not respond to requests for comment. ",politicsNews,"July 13, 2016 "
Kansas governor tapped as religious ambassador reflects on legacy,"(Reuters) - Kansas Governor Sam Brownback on Thursday shrugged off the political backlash and budget woes stirred by his aggressive tax-cutting policies at home as he looked forward to a new role as the Trump administration’s chief defender of global religious tolerance. The two-term Republican addressed both topics at a news conference in Topeka a day after the White House announced that he would soon be nominated as U.S. ambassador at large for international religious freedom, a State Department post. Brownback, who previously represented his home state in the U.S. House of Representatives and Senate, was a sponsor of the 1998 law that created the diplomatic post he now aspires to fill. “International religious freedom is going the wrong way. It’s getting worse around the world, not better,” Brownback told reporters. “It affects all faiths, it affects all religions.” One of Brownback’s most notable forays into the realm of faith as governor came in 2015, when he issued an executive order to protect the religious convictions of clergy as Kansas began to comply with the landmark ruling of the U.S. Supreme Court legalizing same-sex marriage. His gubernatorial legacy, however, has been largely defined by 2012 legislation he championed to roll back tax rates to help stimulate Kansas’ economy. The deep cuts shrank state coffers and caused Kansas to miss revenue targets, turning the state into a cautionary tale of fiscal mismanagement.  “It’s amazed me, too, that a tax cut done in a Midwestern state in 2012 has been the dominant tax discussion in America the last five years,” Brownback said on Thursday. He mostly defended his tax strategy, though conceded some resulting spending cuts could have been carried out “more artfully.”  More than a dozen conservative allies in the state legislature lost their seats in the November election in what was seen as a political repudiation of Brownback’s fiscal policies. Earlier this year, both chambers of the Republican-controlled legislature voted to raise taxes and overrode Brownback’s attempt to veto that measure. Republican state Representative Melissa Rooker, in a separate interview with Reuters, called Brownback’s tax policy “an unmitigated disaster.” Lieutenant Governor Jeff Colyer, a physician who previously served in the legislature, would succeed Brownback if he resigned to assume the diplomatic post. It was unclear how soon Brownback might move to Washington, D.C. In the meantime, his standing at home is low. Brownback ranks as the second-least popular governor in the United States, with a 66 percent disapproval rating, according to the nonpartisan political research company Morning Consult. ",politicsNews,"July 28, 2017 "
California or bust: Bernie Sanders charts a White House path,"NEW YORK (Reuters) - Defying opinion polls and expert predictions, Democratic hopeful Bernie Sanders aims to seize the party’s White House nomination from Hillary Clinton’s grasp with a last-ditch come-from-behind triumph in California. By far the most populous U.S. state, California is the largest prize of the state-by-state nominating contests, and the vote on June 7 is one of the last before Democrats convene in July to select a nominee for the Nov. 8 presidential election. An aggressive schedule of large rallies is planned along with heavy purchases of TV, radio and online advertising in three languages and a “far, far more expensive” campaign effort than in any other state, Sanders campaign sources disclosed. “I think they’re still riding rainbow unicorns if they think there’s a path,” said Steve Schale, a Florida-based strategist, of Sanders’ bid for the White House. California has been a reliable source of campaign funds for Clinton, and opinion polls show her ahead there by as many as 14 percentage points. The statistical analysis media site FiveThirtyEight gives her a 91 percent chance of winning the state primary.         The Sanders campaign push aims to net as much as a 10-point win in California, helping him deny the front-running Clinton the 2,383 convention delegates she needs to clinch the nomination and give him the momentum to force a contested convention where he can try to win over the “superdelegates,” those not decided by a state nominating contest and free to support anyone, the campaign sources said. Sanders, a U.S. senator from Vermont, has eroded Clinton’s lead in California, according to a Field Poll released on Friday. Clinton led Sanders by only 6 points in that survey, down from a double-digit lead earlier this year. “With California what we’re going to do is something that (Sanders) really likes to do: Barnstorm the place,” said Tad Devine, Sanders’ senior adviser, acknowledging Sanders’ underdog status against Clinton, the former secretary of state. That means two or three large-scale rallies a day for weeks, possibly starting in late April to target early voters, he said. Such rallies are a sweet spot for the 74-year-old New York-born democratic socialist’s firebrand speaking style championing the working class and vowing to erase economic inequality. At a late March event in The Bronx, he drew 18,500 people. Clinton leads in pledged convention delegates - those allocated to candidates on the basis of the state primaries and caucuses - with 1,287 to 1,037 for Sanders.  A candidate needs 2,383 delegates to clinch the nomination. California has 475 delegates, to be divided proportionally according to the June 7 primary vote. The Clinton campaign plans to put up a fight. Local and national surrogates will speak out in English and Spanish and staff will beef up offices up and down the West Coast as the California vote nears, her campaign said. “We’re fighting for every vote by talking to Californians about why Hillary Clinton is the only candidate in this race who will break down the barriers that hold people back and deliver real results,” Amanda Renteria, Hillary for America national political director, said in a statement to Reuters.  “Headed into the June 7 primary, our volunteers and supporters are knocking on doors and hitting the phones to share with friends, family and neighbors Hillary Clinton’s plans to create more good-paying jobs in California, keep our streets safe from gun violence, protect our environment, reform our immigration system and ensure all Californians have access to a good education and quality affordable health care.” Sanders has won seven of the last eight state nominating battles but faces a potentially rougher road in big states like New York, where Clinton was a U.S. senator and which holds an April 19 primary. Sanders aims to overcome the edge that Clinton, wife of former President Bill Clinton, has enjoyed with minorities. Larry Cohen, a senior adviser to the campaign, said the campaign aims to match or outdo the 10,000 volunteers it enlisted in New York by drawing on the Labor for Bernie volunteer group, local and national unions and other groups. “We’ll certainly do Spanish-language advertising,” Sanders’ campaign manager Jeff Weaver said. Devine said that Vietnamese was also part of the plan. The languages are nods to California’s large populations of Latino and Asian voters. Weaver compared California to Michigan, where Sanders notched a surprise win in early March after advertising in Arabic to woo the state’s heavy concentration of Muslims. The campaign has yet to set a budget for California, but given the state’s size, the effort will be “hugely expensive - far, far more expensive than any other state that we’ve done,” Weaver said.  In California so far, the campaign has raised about $9.8 million from more than 26,000 donors, the most Sanders has received from any one state, according to a Reuters analysis of campaign finance disclosures. Clinton has raked in significant sums also in California.  An analysis of campaign reports filed with the Federal Election Commission indicate her campaign raised $26,687,011.37 from donors in California from the time she entered the race in 2015 until the end of February. ",politicsNews,"April 11, 2016 "
"Canada's Trudeau: won't support Trump, but understands his appeal","OTTAWA (Reuters) - Canadian Prime Minister Justin Trudeau on Monday said he would neither fight Donald Trump, nor support him, but understood the Republican’s appeal for people fed up with politics, who he said had also voted for controversial Toronto mayor Rob Ford. Trudeau - who will visit Washington this week for talks with President Barack Obama - took office last November and will be in power when the next occupant of the White House takes over in January 2017. Trudeau also suggested Trump might not be serious about policy platforms such as tearing up the North American Free Trade Agreement, which could badly damage Canada’s economy. “I’m not going to pick a fight with Donald Trump right now. I’m not going to support him either, obviously,” Trudeau told a live forum hosted by the Huffington Post when pressed to condemn the Republican. Trudeau said he was watching the United States closely “to see how it deals with what is obviously a very real set of issues around frustration toward the body politic” which had been seen around the world. He cited the case of Ford, the former populist mayor of Toronto who gained global notoriety for admitting to smoking crack while in office. “We had a mayor called Rob Ford here for a while and there’s a lot of people who didn’t get it. But he tapped into a very real and legitimate sense that people had around who politicians were,” said Trudeau. The prime minister seemed less concerned when asked about Trump’s proposals to temporarily bar Muslims from the United States and deport millions of illegal immigrants. “Let’s see if the things that he needed to say in order to secure the Republican nomination are the same things he chooses to say in order to win the Presidency, if that’s what happens,” he said.  (Reporting by David Ljunggren; Editing by Andrew Hay) This article was funded in part by SAP. It was independently created by the Reuters editorial staff. SAP had no editorial involvement in its creation or production.",politicsNews,"March 7, 2016 "
"Houthi radio station says ex-president Saleh killed, party denies","DUBAI (Reuters) - The radio station of Yemen s Houthi-controlled Interior Ministry said on Monday that the group s rival, ex-president Ali Abdullah Saleh had been killed, but there has been no independent confirmation of his death. The report added that the official Houthi TV station would soon broadcast footage of his dead body, while social media users in Yemen circulated unverified images of a corpse which resembled the ex-president. Saleh s party denied to Reuters that their leader had been killed and said he was continuing to lead forces in their clashes against the Houthis in the capital Sanaa. His whereabouts are unknown and he has made no public appearances since the reports of his death surfaced. ",worldnews,"December 4, 2017 "
Man accused of plotting to kill British PM May to face trial in June,"LONDON (Reuters) - A man accused of plotting to kill British Prime Minister Theresa May will go on trial next June for five weeks, a London court said on Wednesday. Naa imur Rahman, 20, of north London, is accused of planning to detonate an explosive device at the gates of Downing Street to gain access to May s office and kill her in the ensuing chaos. He appeared at London s Old Bailey central criminal court, charged with preparing to commit acts of terrorism, and was remanded in custody. ",worldnews,"December 20, 2017 "
Pope criticizes politicians for stoking racism over immigration,"VATICAN CITY (Reuters) - Pope Francis on Friday excoriated politicians who foment fear of migrants, saying they were sowing violence and racism, and urged them to  practise the virtue of prudence  to help them integrate. The pope, who has made defense of migrants and refugees a major plank of his papacy, made his comments in a message prepared for the Roman Catholic Church s World Day of Peace, which is celebrated on Jan. 1 each year. The message, whose title for 2018 is  Migrants and Refugees: Men and Women in Search of Peace , is traditionally sent to heads of state and government and international institutions. The message is being released as migration has become a top political issue in countries including the United States, Italy, Australia and Germany.  Many destination countries have seen the spread of rhetoric decrying the risks posed to national security or the high cost of welcoming new arrivals, and doing so demeans the human dignity due to all as sons and daughters of God,  he wrote.  Those who, for what may be political reasons, foment fear of migrants instead of building peace are sowing violence, racial discrimination and xenophobia, which are matters of great worry  for all those concerned about the safety of every human being,  he said. In elections in Germany in September, the far-right and anti-immigrant Alternative for Germany (AfD) party made significant gains, with electors punishing Chancellor Angela Merkel for her open-door policy and pushing migration policy to the top of the agenda in talks to form a coalition government. Italy s anti-immigrant Northern League, whose leader Matteo Salvini often gives fiery speeches against migrants, is expected to make gains in national elections next year. Francis urged governments to make legal immigration easier but said that leaders should also recognize that many people move  mainly out of desperation, when their own countries offer neither safety nor opportunity, and every legal pathway appears impractical, blocked or too slow . In the United States, President Donald Trump has promised to build a wall along the Mexican border to keep illegal immigrants out, something the pope has criticized in the past. The pope said richer countries should show  a spirit of compassion  toward those forced to flee war, hunger, discrimination, persecution, poverty and environmental degradation. He acknowledged that immigrants can sometimes  compound numerous existing problems  and that leaders have a  clear responsibility toward their own communities ; but practical ways had to be found to welcome newcomers, who can enrich society with their cultures, skills and energy.  By practicing the virtue of prudence, government leaders should take practical measures to welcome, promote, protect, integrate and, within the limits allowed by a correct understanding of the common good, to permit (them) to become part of a new society,  he said. Francis urged the United Nations to make  compassion, foresight and courage  the foundations for global compacts on migration and refugees that the world body is preparing for next year.  Only in this way can the realism required of international politics avoid surrendering to cynicism and to the globalization of indifference,  Francis said. ",worldnews,"November 24, 2017 "
"Australia, citing concerns over China, cracks down on foreign political influence","SYDNEY (Reuters) - Australia, concerned about rising Chinese influence, will ban foreign political donations as part of a crackdown aimed at preventing external interference in domestic politics, Prime Minister Malcolm Turnbull said on Tuesday. Turnbull told reporters in Canberra that foreign powers were making  unprecedented and increasingly sophisticated attempts to influence the political process  in Australia and the world. He cited  disturbing reports about Chinese influence . Australia and neighbouring New Zealand are among roughly a third of countries worldwide that allow foreign donations to political parties. Such donations are prohibited in the United States, Britain and several European countries. Australia s new laws, modelled in part on the U.S. Foreign Agents Registration Act, would criminalise foreign interference and require the registration of lobbyists working for nation states, Turnbull said. The announcement came as concern grows that Beijing may be extending its influence and as relationships between Australian politicians and Chinese government interests have become increasingly contentious. Fairfax Media and the Australian Broadcasting Corporation reported in June on a concerted campaign by China to  infiltrate  Australian politics to promote Chinese interests. China denies the claims.  In Beijing, foreign ministry spokesman Geng Shuang said China had no intention of interfering with Australia s internal affairs or using political funding to influence them.    At the same time, we want to again urge Australia to remove their biases and take an objective and positive attitude to assess China and its relations with Australia,  he added. However, leading opposition Senator Sam Dastyari quit some senior Labor Party positions last week after a tape surfaced of him appearing to endorse China s contentious expansion in disputed areas of the South China Sea, against his party s platform. The tape, which showed him standing next to property developer Huang Xiangmo, a major Chinese political donor, was leaked to the media.  I take those reports, as do my colleagues, very seriously,  Turnbull said. However, the new laws  are not about any one country , he said.  Foreign interference is a global issue ... for example, we re all familiar with very credible reports that Russia sought to actively undermine the United States  election ... the threat is real,  Turnbull said. The new laws, should they pass parliament, would ban foreign donations to political parties or any political group that has spent more than A$100,000 ($76,350) campaigning in the past four years - a rule that could also likely affect environmental and other campaign groups. Australia expressed deep concern last month over a crackdown on pro-democracy groups in Cambodia. Despite that, Finance Minister Mathias Cormann said foreign donations to activist group GetUp!, a non-partisan but vocal critic of the centre-right government, would be banned under Australia s new laws. GetUp! said in a statement only 0.5 percent of its donations come from overseas. It criticised the proposed laws as an attempt to avoid scrutiny of government policies and for failing to curtail donations from multinational corporations. The definitions of treason and espionage would also be broadened under the new laws to include possessing or receiving sensitive information, rather than just transmitting it. Since the controversial sale of the port of Darwin to a Chinese company in 2015, the government has been at pains to demonstrate limits to its ties to China, its biggest export partner, blocking sales of Australia s biggest cattle station and biggest power grid to Chinese interests.  ($1 = 1.3098 Australian dollars) ",worldnews,"December 5, 2017 "
Venezuela's chronic shortages give rise to 'medical flea markets',"SAN CRISTOBAL/MARACAIBO, Venezuela (Reuters) - Venezuela s critical medicine shortage has spurred  medical flea markets,  where peddlers offer everything from antibiotics to contraceptives laid out among the traditional fruits and vegetables.  The crisis-wrought Latin American nation is heaving under worsening scarcity of drugs, as well as basic foods, due to tanking national production and strict currency controls that crimp imports.  The local pharmaceutical association estimates at any given time, there is a shortage of around 85 percent of drugs. Sick Venezuelans often scour pharmacies and send pleas on social media to find treatment. Increasingly, however, they are turning to a flourishing black market offering medicines surreptitiously bought from Venezuelan hospitals or smuggled in from neighboring Colombia.  Here I can find the vitamins I need for my memory,  said 56-year-old Marisol Salas, who suffered a stroke, as she bought the pills at a small stand at the main bus terminal in the Andean city of San Cristobal.  Around her, Venezuelans asked sellers for medicine to control blood pressure as well as birth control pills.   People are looking for anticonvulsants a lot recently,  said Antuam Lopez, 30, who sells medicine alongside vegetables, and said hospital employees usually provide him with the drugs.  Leftist President Nicolas Maduro says resellers are in league with a U.S.-led conspiracy to sabotage socialism and are to blame for medicine shortages.  In the middle of a market in the humid and sweltering city of Maracaibo, dozens of boxes full of medicines including antibiotics and pain killers are stacked on top of each other. The packaging is visibly deteriorated: The cases are discolored and some are even dirty.  Doctors warn these drugs   usually smuggled in from Colombia, a few hours  drive from Maracaibo   pose risks.   We ve found that a lot of them have not been maintained at proper temperatures,  warned oncologist Jose Oberto, who leads the Zulia state s doctors association.  Still, some Venezuelans feel they have no choice but to rely on contraband medicine.   I had to buy medicine from Colombia, and it worried me  because the label said  hospital use,  said retiree Esledy Paez, 62. But they are often prohibitively expensive for Venezuelans, many of whom earn just a handful of dollars a month at the black market rate due to soaring inflation.  Norkis Pabon struggled to find antibiotics for her hospitalized husband to prevent his foot injury from worsening due to diabetes.   But the treatment costs 900,000 bolivars ($9.43; twice the minimum wage) and I do not know what to do,  said Pabon, who is unemployed.  ",worldnews,"December 8, 2017 "
"Asia investors, traders bet on Clinton win after bruising election debate","SYDNEY/SINGAPORE (Reuters) - Investors and traders in Asia indicated on Monday they are mostly increasing their bets on Democratic nominee Hillary Clinton winning the U.S. presidential race after the second of three debates with Republican party nominee Donald Trump.  Some, though remain cautious, saying there was still a chance of a surprise Trump win. They said many in the markets were wary after being burned by the shock “Brexit” vote in June. MSCI’s broadest index of Asia-Pacific shares outside Japan edged up around 0.1 percent by mid-afternoon in Singapore on Monday, while Wall Street index futures were little changed after Clinton exchanged barbs with Republican party nominee Donald Trump in the televised event, which was shown live across trading rooms during Asia’s morning.  The 90-minute debate quickly turned into an acrimonious discussion of a 2005 video that emerged on Friday in which Trump was heard using vulgar language and talking about groping women.  The controversy has caused some senior Republicans to withdraw their support for him.  “For those that think that Trump has a very, very low chance of winning the U.S. elections it might be a good time to go long on global equities,” said Itay Tuchman, Citi’s head of markets for Australia and New Zealand. Markets could be prematurely pricing in a Clinton victory, as they did during the “Brexit” vote in June, when the United Kingdom voted unexpectedly to leave the European Union, said Lee Jin Yang, research analyst for Aberdeen Asset Management in Singapore. “We need to remember that Brexit only became a key focus one week before the vote. The market had priced in near zero probability of it happening but it did.”  According to a CNN online poll, Clinton won the debate by  57 percent to 34 percent. But Josh Crabb, head of Asian equities at Old Mutual Global Investors in Hong Kong, said he is wary of such polls - especially after Brexit.  “The way that mainstream media, and a lot of commentators, interpret the outcome of the debate may be different to what the voting public in general takes away,” Crabb said. “That is a concern because often, a lot of these polls have not been quite as accurate as people are expecting.” Mathan Somasundarum, a strategist at stock brokerage Baillieu Holst in Sydney, said a Clinton victory would reduce the risk of the United States adopting a strong trade protectionist policy. Trump has been highly critical of the NAFTA trade deal with Mexico and Canada as well as the Trans-Pacific Partnership, which has yet to be ratified by the U.S. Congress. He has promised to build a border wall and make Mexico pay for it. “I would expect the U.S. dollar to weaken and you would expect then there is some pressure coming off emerging markets, and then commodities, which (are a) proxy for emerging markets,” Somasundarum said. “China, commodities and the Aussie dollar should do better.” While the markets had already begun to price in a Clinton victory even before the Republican party’s crisis over Trump’s 2005 remarks, some are beginning to game out what would happen if the Democrats won both houses of Congress, which are now Republican controlled.  The possibility of the Democrats controlling Congress and the White House is a concern to some in the markets as they see it leading to more regulation of businesses and higher taxes. “Over time, people will start thinking, is this going to mean a big difference in the way taxation works? Is it going to mean more government involvement?,” said Crabb at Old Mutual Global in Hong Kong. “But the immediate reaction will be a relief rally.” Angus Gluskie, managing director of White Funds Management in Sydney, said while markets usually view one party dominating the government as a risk, it could be different this time. “Investors have been disappointed by the political stalemate over recent years, which has prevented meaningful and well-needed changes being pursued,” Gluskie said. Steven Friedman, senior investment strategist at BNP Paris bas Investment Partners in New York, said he saw little in the debate that represented a game-changer for either candidate. “This obviously plays to Clinton’s advantage, given her lead in the polls,” he said. Strategists in a recent Reuters equity poll mostly viewed an election victory on Nov. 8 by Clinton as more positive for the stock market through the end of the year, largely because her positions - unlike her opponent’s - are well-known.  Chris Brankin, chief executive at stock brokerage TD Ameritrade Asia, said he thought Trump was much better prepared for the town hall debate in St. Louis than he was for the first debate, and that could give markets some pause.  “I have always said markets ‘know what they get’ with Hillary, as she as always been seen as pro-Wall Street and Trump is a bit of an unknown for investors.   “After tonight’s debate I still think there are a lot of questions as who will be elected into office next month and markets are probably going to remain range-bound till after the U.S. elections.” ",politicsNews,"October 10, 2016 "
Difficult legal path forward for Trump in sanctuary cities case,"NEW YORK/SAN FRANCISCO (Reuters) - Even if President Donald Trump wins an appeal of a court ruling blocking his executive order on sanctuary cities, arguments made by the government in the case could permanently harm its  efforts to cut off wide swaths of federal funding to targeted cities, some legal experts say. Trump’s original order, issued on Jan. 25, stated that cities and counties shielding illegal immigrants and refusing to cooperate with immigration officials would lose federal funding except for that “deemed necessary for law enforcement purposes.”  U.S. Justice Department attorneys defending the order in a San Francisco court presented a far narrower view of its reach, however, arguing before U.S. District Judge William Orrick III earlier this month that the only funds the government intended to withhold were certain grants tied to law enforcement programs. * COMMENTARY: Why Trump should mend ties with Russia reut.rs/2qiISqU * COMMENTARY: Russia investigation teeters, but Trump’s strategy of stonewalling does not reut.rs/2oxuHll     That argument did not convince the judge on Tuesday, who noted in issuing a preliminary injunction that the text of the executive order threatened withdrawal of a much wider range of federal funds than the government attorneys asserted in court. [nL1N1HX23B]     “Disavowing the plain language of the executive order itself” was a potentially dangerous course for the Justice Department, said Edward Waters, a Washington lawyer who specializes in federal grants.  The government’s strategy could restrict its ability to cut off funds going forward, some legal experts said, since the Justice Department now has said the order applies to a narrow range of funding.  Trump has promised to broadly “defund” sanctuary cities, saying they “breed crime.” The government could appeal the preliminary injunction to the 9th Circuit Court of Appeals and the losing side at the appellate level could then appeal to the Supreme Court. One procedural case the federal government could make on appeal involves the timing of the challenge, some legal scholars suggested, but such an argument would have limitations. Since no federal funds actually have been withheld to date, the government could say there has been no harm and therefore the case is not yet “ripe” for litigation, said Brian Galle, an expert on government finance at Georgetown Law. To have standing to bring a case, San Francisco and Santa Clara County would have to have suffered actual harm, which could be difficult to establish in this case since they have so far lost no federal funding. [nL1N1FL1GW]     The two municipalities successfully argued in the district court hearing that they had already been harmed by uncertainty and chaos in their budget planning but that might not convince an appellate court.     “In the very short run it’s quite possible that the administration could win a reversal of this ruling” on appeal because of these procedural reasons, Galle said. He predicted, however, the administration would be unable to successfully defend itself if it then began withholding funds without Congress authorizing such action.  The Justice Department declined to discuss its appeals strategy.     Tuesday’s ruling left leeway for the administration to deny some kinds of funding to sanctuary cities, noting the government can “use lawful means to enforce existing conditions of federal grants.” A small amount of federal law enforcement money is tied to a statute requiring local jurisdictions to share information with federal immigration officials.     Programs making such grants include the Edward Byrne Memorial Justice Assistance Grant Program, Community Oriented Policing Services, and the State Criminal Alien Assistance Program. In San Francisco, such funding is a small fraction of federal monies that go to the city, said City Attorney Dennis Herrera. Tuesday’s ruling was the latest legal blow to the Trump administration, which has had two previous executive orders stayed by the courts. In February, a Washington court blocked a Trump order temporarily banning all refugees and travelers from seven mostly Muslim nations. A subsequent order replaced that one, removing Iraq from the ban and creating more exemptions. Parts of that ban were also blocked, this time by judges in Maryland and Hawaii.[nL2N1GS0XF] Those cases are pending appeal. After Tuesday’s district court ruling, a spokesman for the Department of Justice said that it “will follow the law with respect to regulation of sanctuary jurisdictions.”  But the president made clear on Twitter Wednesday that he doesn’t consider the battle over: “See you in the Supreme Court!” he tweeted. ",politicsNews,"April 27, 2017 "
